Name,Regional county municipality,Region,CMA/CA,Population(2016)[2],Population(2011)[2],Change(%)[2],Area(km²)[2],Populationdensity[2]
Dolbeau-Mistassini,Maria-Chapdelaine,Saguenay–Lac-Saint-Jean,Dolbeau-Mistassini,"14,250","14,384",−0.9,295.49,48.2
Dollard-des-Ormeaux,,Montréal,Montréal,"48,899","49,637",−1.5,14.97,"3,266.1"
Donnacona,Portneuf,Capitale-Nationale,,"7,200","6,283",14.6,20.13,357.6
Dorval,,Montréal,Montréal,"18,980","18,208",4.2,20.91,907.7
Drummondville,Drummond,Centre-du-Québec,Drummondville,"75,423","71,852",5.0,247.15,305.2
Dunham,Brome-Missisquoi,Montérégie,,"3,432","3,471",−1.1,194.06,17.7
Duparquet,Abitibi-Ouest,Abitibi-Témiscamingue,,666,657,1.4,123.57,5.4
East Angus,Le Haut-Saint-François,Estrie,,"3,659","3,741",−2.2,7.89,463.5
Estérel,Les Pays-d'en-Haut,Laurentides,,196,199,−1.5,12.57,15.6
Farnham,Brome-Missisquoi,Montérégie,,"8,909","8,330",7.0,92.26,96.6
Fermont,Caniapiscau,Côte-Nord,,"2,474","2,874",−13.9,476.89,5.2
Forestville,La Haute-Côte-Nord,Côte-Nord,,"3,081","3,270",−5.8,195.05,15.8
Fossambault-sur-le-Lac,La Jacques-Cartier,Capitale-Nationale,Québec,"1,960","1,613",21.5,11.53,170.0
Gaspé,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,,"14,568","15,163",−3.9,"1,121.43",13.0
Gatineau,,Outaouais,Ottawa - Gatineau,"276,245","265,349",4.1,342.80,805.8
Gracefield,La Vallée-de-la-Gatineau,Outaouais,,"2,462","2,355",4.5,386.84,6.4
Granby,La Haute-Yamaska,Montérégie,Granby,"66,222","63,433",4.4,152.79,433.4
Grande-Rivière,Le Rocher-Percé,Gaspésie–Îles-de-la-Madeleine,,"3,408","3,456",−1.4,87.86,38.8
Hampstead,,Montréal,Montréal,"6,973","7,153",−2.5,1.80,"3,884.2"
Hudson,Vaudreuil-Soulanges,Montérégie,Montréal,"5,185","5,135",1.0,21.87,237.1
Huntingdon,Le Haut-Saint-Laurent,Montérégie,,"2,444","2,457",−0.5,2.78,879.2
Joliette,Joliette,Lanaudière,Joliette,"20,484","19,621",4.4,22.97,891.8
Kingsey Falls,Arthabaska,Centre-du-Québec,,"1,947","2,000",−2.7,69.64,28.0
Kirkland,,Montréal,Montréal,"20,151","21,253",−5.2,9.63,"2,092.8"
La Malbaie,Charlevoix-Est,Capitale-Nationale,,"8,271","8,862",−6.7,459.24,18.0
La Pocatière,Kamouraska,Bas-Saint-Laurent,,"4,120","4,266",−3.4,21.63,190.4
La Prairie,Roussillon,Montérégie,Montréal,"24,110","23,357",3.2,43.68,552.0
La Sarre,Abitibi-Ouest,Abitibi-Témiscamingue,,"7,282","7,719",−5.7,148.50,49.0
La Tuque,,Mauricie,,"11,001","11,227",−2.0,"25,112.41",0.4
Lac-Delage,La Jacques-Cartier,Capitale-Nationale,Québec,638,598,6.7,1.59,402.2
Lachute,Argenteuil,Laurentides,Lachute,"12,862","12,551",2.5,109.96,117.0
Lac-Mégantic,Le Granit,Estrie,,"5,654","5,932",−4.7,21.95,257.5
Lac-Saint-Joseph,La Jacques-Cartier,Capitale-Nationale,Québec,260,251,3.6,33.69,7.7
Lac-Sergent,Portneuf,Capitale-Nationale,,497,466,6.7,3.76,132.3
L'Ancienne-Lorette,,Capitale-Nationale,Québec,"16,543","16,745",−1.2,7.72,"2,142.0"
L'Assomption,L'Assomption,Lanaudière,Montréal,"22,429","20,065",11.8,98.99,226.6
Laval,,Laval,Montréal,"422,993","401,553",5.3,247.23,"1,710.9"
Lavaltrie,D'Autray,Lanaudière,Montréal,"13,657","13,267",2.9,68.39,199.7
Lebel-sur-Quévillon,,Nord-du-Québec,,"2,187","2,159",1.3,40.89,53.5
L'Épiphanie,L'Assomption,Lanaudière,Montréal,"5,493","5,353",2.6,2.30,"2,387.4"
Léry,Roussillon,Montérégie,Montréal,"2,318","2,307",0.5,10.53,220.1
Lévis,,Chaudière-Appalaches,Québec,"143,414","138,769",3.3,449.05,319.4
L'Île-Cadieux,Vaudreuil-Soulanges,Montérégie,Montréal,126,105,20.0,0.59,212.3
L'Île-Dorval,,Montréal,Montréal,5,5,0.0,0.19,26.1
L'Île-Perrot,Vaudreuil-Soulanges,Montérégie,Montréal,"10,756","10,503",2.4,5.55,"1,938.4"
Longueuil,,Montérégie,Montréal,"239,700","231,409",3.6,115.75,"2,070.9"
Lorraine,Thérèse-De Blainville,Laurentides,Montréal,"9,352","9,479",−1.3,5.92,"1,578.4"
Louiseville,Maskinongé,Mauricie,,"7,152","7,517",−4.9,63.85,112.0
Macamic,Abitibi-Ouest,Abitibi-Témiscamingue,,"2,751","2,734",0.6,202.70,13.6
Magog,Memphrémagog,Estrie,Sherbrooke,"26,669","25,692",3.8,144.47,184.6
Malartic,La Vallée-de-l'Or,Abitibi-Témiscamingue,,"3,377","3,449",−2.1,148.85,22.7
Maniwaki,La Vallée-de-la-Gatineau,Outaouais,,"3,853","3,930",−2.0,5.98,644.3
Marieville,Rouville,Montérégie,,"10,725","10,094",6.3,63.23,169.6
Mascouche,Les Moulins,Lanaudière,Montréal,"46,692","42,491",9.9,107.00,436.4
Matagami,,Nord-du-Québec,,"1,453","1,526",−4.8,75.03,19.4
Matane,La Matanie,Bas-Saint-Laurent,Matane,"14,311","14,462",−1.0,196.08,73.0
Mercier,Roussillon,Montérégie,Montréal,"13,115","11,584",13.2,46.08,284.6
Métabetchouan–Lac-à-la-Croix,Lac-Saint-Jean-Est,Saguenay–Lac-Saint-Jean,,"3,985","4,097",−2.7,187.23,21.3
Métis-sur-Mer,La Mitis,Bas-Saint-Laurent,,587,607,−3.3,48.60,12.1
Mirabel,,Laurentides,Montréal,"50,513","41,957",20.4,485.07,104.1
Mont-Joli,La Mitis,Bas-Saint-Laurent,,"6,281","6,665",−5.8,24.20,259.5
Mont-Laurier,Antoine-Labelle,Laurentides,,"14,116","13,779",2.4,591.27,23.9
Montmagny,Montmagny,Chaudière-Appalaches,,"11,255","11,491",−2.1,124.51,90.4
Montreal,,Montréal,Montréal,"1,704,694","1,649,519",3.3,365.65,"4,662.1"
Montreal West,,Montréal,Montréal,"5,050","5,085",−0.7,1.37,"3,689.6"
Montréal-Est,,Montréal,Montréal,"3,850","3,728",3.3,12.24,314.5
Mont-Saint-Hilaire,La Vallée-du-Richelieu,Montérégie,Montréal,"18,585","18,200",2.1,44.19,420.5
Mont-Tremblant,Les Laurentides,Laurentides,,"9,646","9,494",1.6,235.06,41.0
Mount Royal,,Montréal,Montréal,"20,276","19,503",4.0,7.53,"2,691.0"
Murdochville,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,,651,764,−14.8,61.37,10.6
Neuville,Portneuf,Capitale-Nationale,Québec,"4,392","3,888",13.0,71.99,61.0
New Richmond,Bonaventure,Gaspésie–Îles-de-la-Madeleine,,"3,706","3,810",−2.7,171.34,21.6
Nicolet,Nicolet-Yamaska,Centre-du-Québec,,"8,169","7,828",4.4,95.93,85.2
Normandin,Maria-Chapdelaine,Saguenay–Lac-Saint-Jean,,"3,033","3,137",−3.3,212.46,14.3
Notre-Dame-de-l'Île-Perrot,Vaudreuil-Soulanges,Montérégie,Montréal,"10,654","10,620",0.3,28.21,377.6
Notre-Dame-des-Prairies,Joliette,Lanaudière,Joliette,"9,273","8,868",4.6,18.20,509.4
Otterburn Park,La Vallée-du-Richelieu,Montérégie,Montréal,"8,421","8,450",−0.3,5.37,"1,567.1"
Paspébiac,Bonaventure,Gaspésie–Îles-de-la-Madeleine,,"3,164","3,198",−1.1,94.47,33.5
Percé,Le Rocher-Percé,Gaspésie–Îles-de-la-Madeleine,,"3,103","3,312",−6.3,431.37,7.2
Pincourt,Vaudreuil-Soulanges,Montérégie,Montréal,"14,558","14,305",1.8,7.11,"2,048.1"
Plessisville,L'Érable,Centre-du-Québec,,"6,551","6,688",−2.0,4.40,"1,490.3"
Pohénégamook,Témiscouata,Bas-Saint-Laurent,,"2,582","2,770",−6.8,340.44,7.6
Pointe-Claire,,Montréal,Montréal,"31,380","30,790",1.9,18.90,"1,660.0"
Pont-Rouge,Portneuf,Capitale-Nationale,,"9,240","8,723",5.9,121.20,76.2
Port-Cartier,Sept-Rivières,Côte-Nord,,"6,799","6,651",2.2,"1,102.09",6.2
Portneuf,Portneuf,Capitale-Nationale,,"3,187","3,107",2.6,109.39,29.1
Prévost,La Rivière-du-Nord,Laurentides,,"13,002","12,171",6.8,34.58,376.0
Princeville,L'Érable,Centre-du-Québec,,"6,001","5,693",5.4,195.26,30.7
Québec,,Capitale-Nationale,Québec,"531,902","516,576",3.0,453.38,"1,173.2"
Repentigny,L'Assomption,Lanaudière,Montréal,"84,285","82,000",2.8,61.23,"1,376.5"
Richelieu,Rouville,Montérégie,Montréal,"5,236","5,467",−4.2,30.98,169.0
Richmond,Le Val-Saint-François,Estrie,,"3,232","3,275",−1.3,6.92,467.2
Rigaud,Vaudreuil-Soulanges,Montérégie,Montréal,"7,777","7,346",5.9,99.23,78.4
Rimouski,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,"48,664","46,860",3.8,339.64,143.3
Rivière-du-Loup,Rivière-du-Loup,Bas-Saint-Laurent,Rivière-du-Loup,"19,507","19,447",0.3,84.11,231.9
Rivière-Rouge,Antoine-Labelle,Laurentides,,"4,322","4,645",−7.0,455.65,9.5
Roberval,Le Domaine-du-Roy,Saguenay–Lac-Saint-Jean,,"10,046","10,227",−1.8,151.85,66.2
Rosemère,Thérèse-De Blainville,Laurentides,Montréal,"13,958","14,294",−2.4,10.84,"1,287.6"
Rouyn-Noranda,,Abitibi-Témiscamingue,Rouyn-Noranda,"42,334","41,012",3.2,"6,009.89",7.0
Saguenay,,Saguenay–Lac-Saint-Jean,Saguenay,"145,949","144,746",0.8,"1,128.56",129.3
Saint-Augustin-de-Desmaures,,Capitale-Nationale,Québec,"18,820","18,141",3.7,85.87,219.2
Saint-Basile,Portneuf,Capitale-Nationale,,"2,631","2,463",6.8,98.84,26.6
Saint-Basile-le-Grand,La Vallée-du-Richelieu,Montérégie,Montréal,"17,059","16,736",1.9,35.89,475.3
Saint-Bruno-de-Montarville,,Montérégie,Montréal,"26,394","26,107",1.1,43.14,611.8
Saint-Césaire,Rouville,Montérégie,,"5,877","5,686",3.4,83.20,70.6
Saint-Charles-Borromée,Joliette,Lanaudière,Joliette,"13,791","13,321",3.5,18.52,744.8
Saint-Colomban,La Rivière-du-Nord,Laurentides,Montréal,"16,019","13,080",22.5,93.87,170.6
Saint-Constant,Roussillon,Montérégie,Montréal,"27,359","24,980",9.5,57.13,478.9
Sainte-Adèle,Les Pays-d'en-Haut,Laurentides,,"12,919","12,137",6.4,120.95,106.8
Sainte-Agathe-des-Monts,Les Laurentides,Laurentides,,"10,223","10,115",1.1,130.09,78.6
Sainte-Anne-de-Beaupré,La Côte-de-Beaupré,Capitale-Nationale,,"2,880","2,854",0.9,62.35,46.2
Sainte-Anne-de-Bellevue,,Montréal,Montréal,"4,958","5,073",−2.3,10.48,473.0
Sainte-Anne-des-Monts,La Haute-Gaspésie,Gaspésie–Îles-de-la-Madeleine,,"6,437","6,933",−7.2,264.09,24.4
Sainte-Anne-des-Plaines,Thérèse-De Blainville,Laurentides,Montréal,"14,421","14,535",−0.8,93.59,154.1
Sainte-Catherine,Roussillon,Montérégie,Montréal,"17,047","16,762",1.7,9.42,"1,809.4"
Sainte-Catherine-de-la-Jacques-Cartier,La Jacques-Cartier,Capitale-Nationale,Québec,"7,706","6,319",21.9,121.06,63.7
Sainte-Julie,Marguerite-D'Youville,Montérégie,Montréal,"29,881","30,044",−0.5,48.53,615.7
Sainte-Marguerite-du-Lac-Masson,Les Pays-d'en-Haut,Laurentides,,"2,763","2,740",0.8,91.96,30.0
Sainte-Marie,La Nouvelle-Beauce,Chaudière-Appalaches,,"13,565","12,889",5.2,107.57,126.1
Sainte-Marthe-sur-le-Lac,Deux-Montagnes,Laurentides,Montréal,"18,074","15,689",15.2,8.75,"2,066.7"
Sainte-Thérèse,Thérèse-De Blainville,Laurentides,Montréal,"25,989","26,025",−0.1,9.48,"2,741.5"
Saint-Eustache,Deux-Montagnes,Laurentides,Montréal,"44,008","44,154",−0.3,70.51,624.1
Saint-Félicien,Le Domaine-du-Roy,Saguenay–Lac-Saint-Jean,,"10,238","10,278",−0.4,363.19,28.2
Saint-Gabriel,D'Autray,Lanaudière,,"2,640","2,844",−7.2,2.83,933.9
Saint-Georges,Beauce-Sartigan,Chaudière-Appalaches,Saint-Georges,"32,513","31,173",4.3,199.27,163.2
Saint-Hyacinthe,Les Maskoutains,Montérégie,Saint-Hyacinthe,"55,648","53,236",4.5,188.97,294.5
Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Montérégie,Saint-Jean-sur-Richelieu,"95,114","92,394",2.9,226.63,419.7
Saint-Jérôme,La Rivière-du-Nord,Laurentides,Montréal,"74,346","68,456",8.6,90.44,822.1
Saint-Joseph-de-Beauce,Robert-Cliche,Chaudière-Appalaches,,"4,858","4,722",2.9,114.87,42.3
Saint-Joseph-de-Sorel,Pierre-De Saurel,Montérégie,Sorel-Tracy,"1,642","1,677",−2.1,1.38,"1,192.7"
Saint-Lambert,,Montérégie,Montréal,"21,861","21,555",1.4,7.59,"2,880.6"
Saint-Lazare,Vaudreuil-Soulanges,Montérégie,Montréal,"19,889","19,295",3.1,66.80,297.8
Saint-Lin-Laurentides,Montcalm,Lanaudière,,"20,786","17,463",19.0,118.36,175.6
Saint-Marc-des-Carrières,Portneuf,Capitale-Nationale,,"2,911","2,862",1.7,17.27,168.6
Saint-Ours,Pierre-De Saurel,Montérégie,,"1,669","1,721",−3.0,59.31,28.1
Saint-Pamphile,L'Islet,Chaudière-Appalaches,,"2,400","2,685",−10.6,137.77,17.4
Saint-Pascal,Kamouraska,Bas-Saint-Laurent,,"3,468","3,490",−0.6,59.69,58.1
Saint-Pie,Les Maskoutains,Montérégie,,"5,607","5,438",3.1,107.49,52.2
Saint-Raymond,Portneuf,Capitale-Nationale,,"10,221","9,615",6.3,670.33,15.2
Saint-Rémi,Les Jardins-de-Napierville,Montérégie,,"8,061","7,265",11.0,78.35,102.9
Saint-Sauveur,Les Pays-d'en-Haut,Laurentides,,"10,231","9,881",3.5,47.91,213.5
Saint-Tite,Mékinac,Mauricie,,"3,673","3,880",−5.3,91.33,40.2
Salaberry-de-Valleyfield,Beauharnois-Salaberry,Montérégie,Salaberry-de-Valleyfield,"40,745","40,077",1.7,107.13,380.3
Schefferville,Caniapiscau,Côte-Nord,,155,213,−27.2,27.33,5.7
Scotstown,Le Haut-Saint-François,Estrie,,472,547,−13.7,11.46,41.2
Senneterre,La Vallée-de-l'Or,Abitibi-Témiscamingue,,"2,868","2,953",−2.9,"14,889.93",0.2
Sept-Îles,Sept-Rivières,Côte-Nord,Sept-Îles,"25,400","25,686",−1.1,"1,762.92",14.4
Shawinigan,,Mauricie,Shawinigan,"49,349","50,060",−1.4,734.84,67.2
Sherbrooke,,Estrie,Sherbrooke,"161,323","154,601",4.3,353.76,456.0
Sorel-Tracy,Pierre-De Saurel,Montérégie,Sorel-Tracy,"34,755","34,600",0.4,57.46,604.9
Stanstead,Memphrémagog,Estrie,,"2,788","2,857",−2.4,22.00,126.7
Sutton,Brome-Missisquoi,Montérégie,,"4,012","3,906",2.7,245.95,16.3
Témiscaming,Témiscamingue,Abitibi-Témiscamingue,,"2,431","2,385",1.9,718.49,3.4
Témiscouata-sur-le-Lac,Témiscouata,Bas-Saint-Laurent,,"4,910","5,096",−3.6,218.80,22.4
Terrebonne,Les Moulins,Lanaudière,Montréal,"111,575","106,322",4.9,154.12,723.9
Thetford Mines,Les Appalaches,Chaudière-Appalaches,Thetford Mines,"25,403","25,709",−1.2,226.32,112.2
Thurso,Papineau,Outaouais,,"2,818","2,455",14.8,6.28,449.0
Trois-Pistoles,Les Basques,Bas-Saint-Laurent,,"3,246","3,456",−6.1,7.64,425.1
Trois-Rivières,,Mauricie,Trois-Rivières,"134,413","131,338",2.3,289.32,464.6
Valcourt,Le Val-Saint-François,Estrie,,"2,165","2,349",−7.8,5.42,399.1
Val-d'Or,La Vallée-de-l'Or,Abitibi-Témiscamingue,Val-d'Or,"32,491","31,862",2.0,"3,550.70",9.2
Val-des-Sources,Les Sources,Estrie,,"6,786","7,096",−4.4,30.41,223.1
Varennes,Marguerite-D'Youville,Montérégie,Montréal,"21,257","20,994",1.3,94.41,225.2
Vaudreuil-Dorion,Vaudreuil-Soulanges,Montérégie,Montréal,"38,117","33,305",14.4,72.73,524.1
Victoriaville,Arthabaska,Centre-du-Québec,Victoriaville,"46,130","43,462",6.1,84.23,547.7
Ville-Marie,Témiscamingue,Abitibi-Témiscamingue,,"2,584","2,595",−0.4,5.84,442.8
Warwick,Arthabaska,Centre-du-Québec,,"4,635","4,766",−2.7,109.84,42.2
Waterloo,La Haute-Yamaska,Montérégie,,"4,410","4,330",1.8,12.24,360.2
Waterville,Coaticook,Estrie,Sherbrooke,"2,121","2,028",4.6,44.10,48.1
Westmount,,Montréal,Montréal,"20,312","19,931",1.9,4.04,"5,024.9"
Windsor,Le Val-Saint-François,Estrie,,"5,419","5,330",1.7,14.56,372.2
